,Date,Hour,y,Temperature,Humidity,Sealevel Pressure,Holiday
0,2016-01-01,01:00,8343.0,280.45,88.0,102470.0,1
1,2016-01-01,04:00,7174.0,278.05,95.0,102540.0,1
2,2016-01-01,07:00,7348.0,277.05,97.0,102500.0,1
3,2016-01-01,10:00,7746.0,278.05,99.0,102450.0,1
4,2016-01-01,13:00,8856.0,279.55,99.0,102190.0,1
5,2016-01-01,16:00,8474.0,280.55,93.0,101800.0,1
6,2016-01-01,19:00,9499.0,280.05,88.0,101480.0,1
7,2016-01-01,22:00,8625.0,279.75,94.0,101210.0,1
8,2016-01-02,01:00,8036.0,280.25,90.0,101010.0,0
9,2016-01-02,04:00,6751.0,281.25,92.0,100810.0,0
10,2016-01-02,07:00,7138.0,281.65,93.0,100810.0,0
11,2016-01-02,10:00,8350.0,282.55,86.0,100820.0,0
12,2016-01-02,13:00,9083.0,283.75,73.0,100790.0,0
13,2016-01-02,16:00,8827.0,283.45,74.0,100830.0,0
14,2016-01-02,19:00,9876.0,281.55,88.0,100960.0,0
15,2016-01-02,22:00,8739.0,281.45,78.0,101020.0,0
16,2016-01-03,01:00,8264.0,280.05,81.0,101080.0,0
17,2016-01-03,04:00,6903.0,279.45,84.0,101060.0,0
18,2016-01-03,07:00,7176.0,278.95,90.0,100900.0,0
19,2016-01-03,10:00,8421.0,279.55,91.0,100590.0,0
20,2016-01-03,13:00,9638.0,280.85,90.0,100070.0,0
21,2016-01-03,16:00,9485.0,280.15,93.0,99560.0,0
22,2016-01-03,19:00,10570.0,280.05,96.0,99170.0,0
23,2016-01-03,22:00,9197.0,281.05,93.0,99010.0,0
24,2016-01-04,01:00,8437.0,280.55,91.0,99050.0,0
25,2016-01-04,04:00,7118.0,279.15,92.0,99150.0,0
26,2016-01-04,07:00,9343.0,278.85,92.0,99160.0,0
27,2016-01-04,10:00,11069.0,278.85,92.0,99280.0,0
28,2016-01-04,13:00,10949.0,281.85,81.0,99180.0,0
29,2016-01-04,16:00,10283.0,282.75,76.0,99120.0,0
30,2016-01-04,19:00,11911.0,280.05,87.0,99130.0,0
31,2016-01-04,22:00,10062.0,278.95,89.0,99150.0,0
32,2016-01-05,01:00,9014.0,278.85,91.0,99140.0,0
33,2016-01-05,04:00,7718.0,279.05,88.0,99130.0,0
34,2016-01-05,07:00,9756.0,279.25,88.0,99110.0,0
35,2016-01-05,10:00,11483.0,279.75,91.0,99200.0,0
36,2016-01-05,13:00,11386.0,281.65,81.0,99220.0,0
37,2016-01-05,16:00,10888.0,281.85,76.0,99250.0,0
38,2016-01-05,19:00,12260.0,280.55,88.0,99370.0,0
39,2016-01-05,22:00,10175.0,280.35,89.0,99430.0,0
